/home/chunyulin/anaconda3/envs/offline_rl/lib/python3.10/site-packages/gymnasium/envs/registration.py:519: DeprecationWarning: [33mWARN: The environment HalfCheetah-v4 is out of date. You should consider upgrading to version `v5`.[0m
  logger.deprecation(
  3%|███▊                                                                                                                     | 31/1000 [06:44<3:35:23, 13.34s/it]
Episode 62: ELoss: 919.68, Recon Loss: 3.36, SAC Loss: 916.32, Reward: -350.21
Episode 63: ELoss: 977.08, Recon Loss: 3.20, SAC Loss: 973.88, Reward: -352.54
Episode 64: ELoss: 1054.50, Recon Loss: 3.06, SAC Loss: 1051.44, Reward: -354.13
Episode 65: ELoss: 1122.71, Recon Loss: 2.93, SAC Loss: 1119.78, Reward: -357.06
Episode 66: ELoss: 1214.58, Recon Loss: 2.79, SAC Loss: 1211.80, Reward: -359.54
Episode 67: ELoss: 1282.29, Recon Loss: 2.65, SAC Loss: 1279.64, Reward: -361.40
Episode 68: ELoss: 1364.49, Recon Loss: 2.52, SAC Loss: 1361.98, Reward: -364.45
Episode 69: ELoss: 1443.87, Recon Loss: 2.39, SAC Loss: 1441.48, Reward: -366.36
Episode 70: ELoss: 1521.59, Recon Loss: 2.28, SAC Loss: 1519.30, Reward: -365.64
Episode 71: ELoss: 1617.78, Recon Loss: 2.17, SAC Loss: 1615.61, Reward: -367.63
Episode 72: ELoss: 1701.78, Recon Loss: 2.07, SAC Loss: 1699.71, Reward: -368.29
Episode 73: ELoss: 1796.60, Recon Loss: 1.97, SAC Loss: 1794.63, Reward: -370.37
Episode 74: ELoss: 1875.64, Recon Loss: 1.87, SAC Loss: 1873.77, Reward: -372.56
Episode 75: ELoss: 1970.05, Recon Loss: 1.77, SAC Loss: 1968.28, Reward: -375.15
Episode 76: ELoss: 2052.72, Recon Loss: 1.68, SAC Loss: 2051.04, Reward: -377.56
Episode 77: ELoss: 2158.60, Recon Loss: 1.59, SAC Loss: 2157.01, Reward: -376.66
Episode 78: ELoss: 2233.72, Recon Loss: 1.51, SAC Loss: 2232.21, Reward: -378.30
Episode 79: ELoss: 2331.81, Recon Loss: 1.43, SAC Loss: 2330.37, Reward: -380.02
Episode 80: ELoss: 2416.79, Recon Loss: 1.36, SAC Loss: 2415.43, Reward: -381.07
Episode 81: ELoss: 2510.25, Recon Loss: 1.30, SAC Loss: 2508.95, Reward: -381.77
Episode 82: ELoss: 2579.49, Recon Loss: 1.24, SAC Loss: 2578.25, Reward: -383.14
Episode 83: ELoss: 2673.60, Recon Loss: 1.18, SAC Loss: 2672.42, Reward: -384.63
Episode 84: ELoss: 2770.61, Recon Loss: 1.14, SAC Loss: 2769.47, Reward: -385.06
Episode 85: ELoss: 2844.95, Recon Loss: 1.09, SAC Loss: 2843.85, Reward: -387.24
Episode 86: ELoss: 2919.14, Recon Loss: 1.05, SAC Loss: 2918.09, Reward: -388.07
Episode 87: ELoss: 3011.95, Recon Loss: 1.01, SAC Loss: 3010.93, Reward: -389.30
Episode 88: ELoss: 3105.59, Recon Loss: 0.98, SAC Loss: 3104.61, Reward: -390.15
Episode 89: ELoss: 3156.21, Recon Loss: 0.95, SAC Loss: 3155.26, Reward: -391.59
Episode 90: ELoss: 3221.26, Recon Loss: 0.92, SAC Loss: 3220.35, Reward: -392.78
Episode 91: ELoss: 3314.09, Recon Loss: 0.89, SAC Loss: 3313.20, Reward: -393.91
Episode 92: ELoss: 3394.26, Recon Loss: 0.86, SAC Loss: 3393.39, Reward: -395.15
Episode 93: ELoss: 3477.59, Recon Loss: 0.84, SAC Loss: 3476.75, Reward: -396.27
Episode 94: ELoss: 3509.33, Recon Loss: 0.82, SAC Loss: 3508.51, Reward: -397.40
Episode 95: ELoss: 3588.59, Recon Loss: 0.81, SAC Loss: 3587.78, Reward: -397.64
Episode 96: ELoss: 3629.72, Recon Loss: 0.79, SAC Loss: 3628.93, Reward: -399.05
Episode 97: ELoss: 3682.03, Recon Loss: 0.77, SAC Loss: 3681.26, Reward: -400.07
Episode 98: ELoss: 3732.85, Recon Loss: 0.76, SAC Loss: 3732.09, Reward: -401.09
Episode 99: ELoss: 3753.89, Recon Loss: 0.74, SAC Loss: 3753.15, Reward: -402.48
Episode 100: ELoss: 3855.04, Recon Loss: 0.73, SAC Loss: 3854.31, Reward: -403.17
Episode 101: ELoss: 3887.16, Recon Loss: 0.72, SAC Loss: 3886.44, Reward: -402.76
Episode 102: ELoss: 3935.24, Recon Loss: 0.70, SAC Loss: 3934.54, Reward: -405.10
Episode 103: ELoss: 3988.45, Recon Loss: 0.69, SAC Loss: 3987.76, Reward: -405.99
Episode 104: ELoss: 4020.79, Recon Loss: 0.68, SAC Loss: 4020.11, Reward: -407.76
Episode 105: ELoss: 4035.45, Recon Loss: 0.66, SAC Loss: 4034.78, Reward: -409.46
Episode 106: ELoss: 4085.72, Recon Loss: 0.65, SAC Loss: 4085.07, Reward: -411.13
Episode 107: ELoss: 4108.59, Recon Loss: 0.64, SAC Loss: 4107.96, Reward: -410.82
Episode 108: ELoss: 4141.40, Recon Loss: 0.63, SAC Loss: 4140.78, Reward: -413.88
Episode 109: ELoss: 4167.00, Recon Loss: 0.62, SAC Loss: 4166.39, Reward: -416.03
Episode 110: ELoss: 4220.96, Recon Loss: 0.60, SAC Loss: 4220.36, Reward: -417.72
Episode 111: ELoss: 4252.24, Recon Loss: 0.59, SAC Loss: 4251.64, Reward: -418.53
Episode 112: ELoss: 4239.10, Recon Loss: 0.58, SAC Loss: 4238.52, Reward: -420.51
Episode 113: ELoss: 4301.60, Recon Loss: 0.58, SAC Loss: 4301.03, Reward: -421.73
Episode 114: ELoss: 4317.65, Recon Loss: 0.57, SAC Loss: 4317.08, Reward: -423.32
Episode 115: ELoss: 4368.17, Recon Loss: 0.56, SAC Loss: 4367.61, Reward: -424.69
Episode 116: ELoss: 4377.41, Recon Loss: 0.55, SAC Loss: 4376.86, Reward: -426.03
Episode 117: ELoss: 4410.20, Recon Loss: 0.54, SAC Loss: 4409.66, Reward: -426.82
Episode 118: ELoss: 4456.32, Recon Loss: 0.53, SAC Loss: 4455.79, Reward: -427.93
Episode 119: ELoss: 4498.22, Recon Loss: 0.53, SAC Loss: 4497.69, Reward: -428.18
Episode 120: ELoss: 4501.14, Recon Loss: 0.52, SAC Loss: 4500.62, Reward: -428.99
Episode 121: ELoss: 4567.32, Recon Loss: 0.51, SAC Loss: 4566.81, Reward: -430.06
Episode 122: ELoss: 4576.57, Recon Loss: 0.51, SAC Loss: 4576.06, Reward: -430.84
Episode 123: ELoss: 4605.41, Recon Loss: 0.50, SAC Loss: 4604.91, Reward: -431.92
Episode 124: ELoss: 4664.60, Recon Loss: 0.50, SAC Loss: 4664.10, Reward: -433.07
Episode 125: ELoss: 4695.84, Recon Loss: 0.49, SAC Loss: 4695.35, Reward: -435.54
Episode 126: ELoss: 4700.98, Recon Loss: 0.49, SAC Loss: 4700.49, Reward: -438.05
Episode 127: ELoss: 4731.70, Recon Loss: 0.49, SAC Loss: 4731.22, Reward: -438.80
Episode 128: ELoss: 4747.90, Recon Loss: 0.48, SAC Loss: 4747.41, Reward: -441.19
Episode 129: ELoss: 4776.42, Recon Loss: 0.48, SAC Loss: 4775.94, Reward: -441.30
Episode 130: ELoss: 4809.13, Recon Loss: 0.48, SAC Loss: 4808.65, Reward: -443.27
Episode 131: ELoss: 4867.99, Recon Loss: 0.47, SAC Loss: 4867.52, Reward: -444.61
Episode 132: ELoss: 4882.00, Recon Loss: 0.47, SAC Loss: 4881.53, Reward: -446.55
Episode 133: ELoss: 4940.87, Recon Loss: 0.47, SAC Loss: 4940.40, Reward: -450.24
Episode 134: ELoss: 4954.61, Recon Loss: 0.46, SAC Loss: 4954.15, Reward: -451.01
Episode 135: ELoss: 5045.63, Recon Loss: 0.46, SAC Loss: 5045.17, Reward: -451.09
